Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	E:\FragPipe\ThyDIA\10ngK5\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_5430_DIA10_10ngK5_DWP_2.raw	E:\FragPipe\ThyDIA\10ngHela\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_5430_DIA10_10ng_DWP_2.raw	E:\FragPipe\ThyDIA\10ngHela\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_5430_DIA10_10ng_DWP_1.raw	E:\FragPipe\ThyDIA\10ngK5\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_5430_DIA10_10ngK5_DWP_1.raw	E:\FragPipe\ThyDIA\02ng_K562_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ngK5_DWP_6.raw	E:\FragPipe\ThyDIA\02ng_K562_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ngK5_DWP_4.raw	E:\FragPipe\ThyDIA\02ng_K562_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ngK5_DWP_5.raw	E:\FragPipe\ThyDIA\02ng_K562_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ngK5_DWP_8.raw	E:\FragPipe\ThyDIA\02ng_K562_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ngK5_DWP_2.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_DWP_6.raw	E:\FragPipe\ThyDIA\02ng_K562_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ngK5_DWP_7.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_DWP_8.raw	E:\FragPipe\ThyDIA\02ng_K562_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ngK5_DWP_3.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_DWP_4.raw	E:\FragPipe\ThyDIA\02ng_K562_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ngK5_DWP_1.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_DWP_2.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_DWP_3.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_DWP_5.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_DWP_1.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_DWP_7.raw
Q10713	Q10713		PMPCA		249699	250950	256538	259900	346393	367409	354396	344072	368369	379542	345669	370132	363864	364495	393639	371823	374282	368826	353352	379977
Q11201	Q11201		ST3GAL1		18924.2			17916.9																
Q12765	Q12765		SCRN1			34023.8	36405.2																	
Q12768	Q12768		WASHC5		34812.9	69822.1	58709.3	43400.4	52264.6	40617.7		48552.6		79151.2		82431.1		93138.3	51295.8	62356.8	87383.1	51517.3	74102.8	81680.5
Q12769	Q12769		NUP160		730704	663534	581776	738112	727443	700789	745517	720394	723966	628454	740421	749432	733208	665759	799612	604106	662885	610095	681331	618636
Q12788	Q12788		TBL3		341212	173903	174302	314837	396312	390713	364978	380408	390328	234530	359443	204710	384127	223556	373154	209888	226154	216583	210022	225442
Q12789	Q12789		GTF3C1		64214.4	65319.6	64230.4	66874		81297.5	77025.9	62411.1	92257.2				72428.9							
Q12792	Q12792		TWF1		48248.6	393576	389217	47147.7			143880		124734	450674		493169		461710		453378	518245	477404	520650	475486
Q12797	Q12797		ASPH			541566	546501	12595.8						543016		554161		484656		487536	521176	507880	536186	549119
Q12800	Q12800		TFCP2		130683	52172.6	52980.2	173088	93203.7	113677	130713	102262	116693	72673.6	119465	52851.8	92821.2	63724.4	116850	51543.5	61668.5	32808		41085.1
Q12805	Q12805		EFEMP1			320465	341017							236674		312755		293184		205956	241624	226116	242813	221639
Q12824	Q12824		SMARCB1		335623	155428	152521	332650	269183	273972	277749	204225	294591	120125	283969	143490	245358		309599	127378	152380		141736	
Q12830	Q12830		BPTF		18841.1	25261.7	29856.2	25793.5																
Q12834	Q12834		CDC20		68344.8	44366.6	36937.1	59641.8	47115		33470.9	58823.3			43898.9									
Q12846	Q12846		STX4		64387.3	124968	117391	64490	297588					467158	292061	342613		466056			362679	386575	359076	448152
Q12849	Q12849		GRSF1		1.21778e+06	656203	553678	1.33129e+06	1.27623e+06	1.41077e+06	1.4299e+06	1.39442e+06	1.71963e+06	783374	1.51566e+06	694009	1.36497e+06	1.1907e+06	1.409e+06	883910	1.15554e+06	811252	881189	981260
Q12857	Q12857		NFIA		25451.3	28092.1	31183.7	19469.5	36238.3														31180.1	
Q12872	Q12872		SFSWAP		227537	92716.7	100983	195842	182066	290298	219122	240414	245323		244047		216754	311759	215643			220553		
Q12873	Q12873		CHD3		20333	41587.4	45858.4	23692.5	201774		164091													
Q12874	Q12874		SF3A3		690559	349337	364236	710643	702328	702888	748143	722756	687885	468191	761974	407833	747541	461682	744844	444353	462492	448618	486897	489654
Q12888	Q12888		TP53BP1		166702	180453	187155	164452	125080	129796	114338	93226.5	105426	131687	78262.3	145911	109790	181153	101668	150109	123380	288494	113776	104696
Q12894	Q12894		IFRD2		41513.2	41415.6	36013.3	7299.42						43815.6				28682.5		30788.8	47060.2			25009
Q12904	Q12904		AIMP1		785156	862602	881580	757186	980185	969567	932283	913862	962660	1.00528e+06	931253	1.06131e+06	958900	1.05121e+06	980195	1.10711e+06	1.07582e+06	1.09619e+06	1.08137e+06	1.08758e+06
Q12905	Q12905		ILF2		1.74233e+06	1.79875e+06	1.89027e+06	1.58636e+06	1.79056e+06	1.86005e+06	1.53855e+06	1.70663e+06	1.80154e+06	1.88903e+06	1.71972e+06	1.91518e+06	1.69233e+06	1.77744e+06	1.69918e+06	1.75763e+06	1.75024e+06	1.85777e+06	1.69546e+06	1.80145e+06
Q12906	Q12906		ILF3		2.18261e+06	2.0779e+06	2.1363e+06	2.2643e+06	1.97991e+06	2.03298e+06	2.07846e+06	2.05597e+06	1.96074e+06	1.64562e+06	2.03646e+06	1.71558e+06	1.96558e+06	1.58759e+06	2.05754e+06	1.7057e+06	1.63932e+06	1.76374e+06	1.74799e+06	1.66672e+06
Q12907	Q12907		LMAN2		148289	606922	645895	133769	119126	119620	114238	121802	92562.4	622450	96911.3	609441	112875	646972	123810	625679	643311	603850	667298	640083
Q12913	Q12913		PTPRJ			14160.1	11248																	
Q12931	Q12931		TRAP1		1.08658e+06	998606	983746	1.06937e+06	1.25712e+06	1.24928e+06	1.2045e+06	1.28344e+06	1.25233e+06	1.02551e+06	1.21039e+06	1.04131e+06	1.20292e+06	1.06795e+06	1.21997e+06	1.08388e+06	1.09364e+06	1.0665e+06	1.06858e+06	1.01815e+06
Q12933	Q12933		TRAF2		75417.2	41756.7	61749.3	66476.3	65538	88535.9	73916.9	77200.8	106904	97073.4	55903.9	38690	68604.3	91276.2	70966.7	57911.8	65828.8		53418.9	
Q12947	Q12947		FOXF2		7769.16		2999.87	4538.88																
Q12948	Q12948		FOXC1			37370.6	40296.5																	
Q12959	Q12959		DLG1		59228.3	111080	119961	49415.2	62177	86037.2	71782.8	99483.2	68705.7		90656.8		77590.8		81017	119159			114388	
Q12962	Q12962		TAF10		134761	87828.3	80134.1	126126	555447	662356	693465	373775	454198		423996		449267		525112					
Q12965	Q12965		MYO1E			248102	255523							270622		272373		273809		264007	280663	258320	280343	262563
Q12968	Q12968		NFATC3		24043.1	39211.2	15287.8	22188.1	67306.6															
Q12972	Q12972		PPP1R8		153557	121820	118414	153690	199211	147317	248460	188920	171123	120905	200785	193453	202831		215567	139827	176490	198977	92951.7	176506
Q12974	Q12974		PTP4A2		158521	73059	67839.3	165195	151044	177782	140534	167733	144051		152301	38763.9	144117		138013	55557.9		26900		
Q12979	Q12979		ABR			27868.1	33438																	
Q12981	Q12981		BNIP1		28078.5	74703.8	73106.6	25109.2								101796								
Q12982	Q12982		BNIP2		6843.25		19115.7	15512.4																
Q12986	Q12986		NFX1		21446.8	38248.3	39143.7	21707.2																
Q12996	Q12996		CSTF3		299870	318009	308053	291254	348643	337736	283767	329694	341119	306281	289328	287261	352995	275415	294033	303543	298725	287103	301742	282777
Q13011	Q13011		ECH1		383837	617937	587089	374646	354542	380517	357205	372712	358993	585538	370621	605056	371004	613250	351079	607770	570151	591843	588691	603317
Q13015	Q13015		MLLT11		14033			18225.2			35235.3								50486.1					
Q13033	Q13033		STRN3		38773.5	35500.4	33372.4	47687.5	54518.5	43371.5			42354.9				36718.1							
Q13042	Q13042		CDC16		393228	388993	483460	474823	377196	372470	391336	385273	393911	523263	342583	492132	323527	948923	343521		406890	619615	617300	608500
Q13043	Q13043		STK4		60149.8	32086.5	33923.6	57550.4				326474												
Q13045	Q13045		FLII		106026	141666	134883	97172.9	153030	159510	153553	165852	133564	177739	174971	223578	166782	195346	169020	189824	175606	183941	187394	188341
Q13049	Q13049		TRIM32		16133.8	12276.4	15190.4	19073																
Q13057	Q13057		COASY		120468	284008	272231	147422	235146	205697	261339	205961	233162	459284	190090	457346	185355	466627	204841	502868	474636	458117	418045	512810
Q13084	Q13084		MRPL28		62632.5	93382.7	95644.5	77793.5																
Q13085	Q13085		ACACA		1.10963e+06	1.07984e+06	1.00647e+06	1.108e+06	1.32521e+06	1.33149e+06	1.27293e+06	1.30618e+06	1.28985e+06	1.16794e+06	1.26861e+06	1.1013e+06	1.30078e+06	1.15987e+06	1.2166e+06	1.25014e+06	1.18807e+06	1.35905e+06	1.10277e+06	1.13619e+06
Q13094	Q13094		LCP2		48109.3			41187.5																
Q13098	Q13098		GPS1		233119	310855	303787	226750	301876	294694	323196	316335	319783	367076	317226	394577	328231	378232	317332	381190	412282	386998	423589	420463
Q13111	Q13111		CHAF1A		91308.4	54314.9	51272.7	95021.7	113614	97347.5	124033	114226	108063	63409.5	112358	50970.6	117524		124454					
Q13112	Q13112		CHAF1B		138993	95135.2	79623.4	100105	125460	128078	137296	112067	110499	62290.2	104617	109719	125024		110808	77534.5	94589.4	89358.9	83708.5	112744
Q13123	Q13123		IK		417992	335520	343032	425921	530024	570473	556816	484728	448941	482809	553480	420881	562078	484573	538877	385403	494731	494441	439489	446429
Q13126	Q13126		MTAP			309594	303999							295032		270031		262060		278343	263038	302810	285496	272760
Q13131	Q13131		PRKAA1		152963	154451	149882	152838	196075	188144	191509	157342	547860	88214.4	118464	108011	238537	108132	280288	109710	127445	146102	99893.3	112552
Q13136	Q13136		PPFIA1		60790.3	87898	87632.7	57149.3			150346	179332		177100	129595	201282				188991	273653	247462	152128	316851
Q13137	Q13137		CALCOCO2		26811.7			22664.5			73255.2				42761.9									
Q13144	Q13144		EIF2B5		173717	151074	140045	179465	218681	209422	190860	217767	208844	130892	167386	157245	191390	134279	201639	184099	158040	110758	147801	135235
Q13148	Q13148		TARDBP		624859	431037	439102	648657	835871	761100	788314	784859	737265	664315	776570	580039	790951	622451	798976	570449	607650	559622	563393	556040
Q13151	Q13151		HNRNPA0		929689	581205	582845	790957	441404	445286	410897	400497	471486	456348	418486	458005	358376	359840	407825	423857	289360	360262	324035	353242
Q13155	Q13155		AIMP2		406223	485252	486875	443722	389343	364141	419824	464129	369217	415018	414303	427582	452703	401392	424312	435846	438694	395181	490952	406135
Q13158	Q13158		FADD		55990.8	63782.3	52130.7	54208.8		38770.5	59911.5	55490.6		76572.1		60582.9		75932.2		60578.3	65390.7		72561.3	74990.2
Q13162	Q13162		PRDX4		182977	749480	687696	196335	192016	192479	190637	190609	176552	759206	157976	764993	177165	816581	252449	759209	702809	695322	700517	670233
Q13164	Q13164		MAPK7		20195.5	18812.5	15651.3	10635.7	3954.63															
Q13177	Q13177		PAK2		705238	629684	583771	729568	715379	687074	840993	731278	696803	616832	803675	595722	771683	574320	810475	545713	630000	613820	609709	609890
Q13185	Q13185		CBX3		1.68909e+06	715138	734812	1.76864e+06	1.70181e+06	1.66747e+06	1.49495e+06	1.64861e+06	1.54582e+06	471152	1.51249e+06	497986	1.51577e+06	463408	1.49791e+06	469163	483830	464309	452059	503737
Q13188	Q13188		STK3		16324.6	22925.1	20032.9	17701.5																
Q13190	Q13190		STX5		25322.7	95836	107471	35578.2								89818.4		97766.3					103966	125475
Q13200	Q13200		PSMD2		2.09989e+06	1.21317e+06	1.30591e+06	1.93503e+06	2.12932e+06	2.16843e+06	2.07314e+06	2.09291e+06	2.15238e+06	1.24651e+06	2.11366e+06	1.27464e+06	2.04053e+06	1.27681e+06	2.05292e+06	1.27304e+06	1.2416e+06	1.15464e+06	1.18773e+06	1.26397e+06
Q13206	Q13206		DDX10		414712	223556	190164	390586	413656	381278	482309	473055	451319		403698	506211	405039	268605	393780	475778		785292	226741	343262
Q13214	Q13214		SEMA3B			620487	634335							697835		608789		602149		609256	518696	521171	629964	624484
Q13217	Q13217		DNAJC3		28609.6	62737	69402.7	32018.4															14416.2	
Q13228	Q13228		SELENBP1		182880	262589	268270	170438	233216	229467	247063	258330	201431	359709	197741	399852	196459	330758	245727	321377	353573	436406	365117	410248
Q13242	Q13242		SRSF9		1.38976e+06	963151	1.07759e+06	1.28993e+06	917493	870357	939392	868242	771041	532926	952056	623696	938241	512897	946180	442789	506484	522597	549454	562779
Q13243	Q13243		SRSF5		319027	311009	278148	343467	346776	361335	291098	396507	373638		350947		272017		322628					
Q13247	Q13247		SRSF6		4.16563e+06	3.6735e+06	3.64652e+06	3.99143e+06	3.89756e+06	3.83415e+06	3.57638e+06	4.03591e+06	3.77669e+06	3.07802e+06	3.68822e+06	3.24647e+06	3.58517e+06	3.23804e+06	3.74146e+06	3.2986e+06	3.37749e+06	3.23569e+06	3.07927e+06	3.27316e+06
Q13255	Q13255		GRM1		22291.9	18850.7		14072	18299.7	26516.7		16690.2	31453.2	29765.6	26213.6		30583.8	32104.3				26616.2		
Q13257	Q13257		MAD2L1		1.87741e+06	465441	472637	1.71533e+06	1.97564e+06	2.00403e+06	1.77296e+06	1.90786e+06	1.97038e+06	698391	1.8067e+06	296663	1.98478e+06	664670	1.80827e+06	674692	792866	695794	798398	762574
Q13263	Q13263		TRIM28		2.493e+06	1.13913e+06	1.17443e+06	2.60117e+06	1.9977e+06	1.88216e+06	2.14111e+06	2.04673e+06	1.76748e+06	817608	2.22105e+06	862271	2.04571e+06	893685	2.06676e+06	870142	875608	1.0144e+06	880701	903815
Q13268	Q13268		DHRS2		186498	166902	169334	114397	160416		172096	216280	197267											
Q13277	Q13277		STX3		71518.6	46927.7	38559.1	64920.4	56936.4	27123.3	44877.5											47240.1		215835
Q13283	Q13283		G3BP1		3.96126e+06	3.49462e+06	4.0393e+06	4.00145e+06	2.22454e+06	1.79485e+06	2.70208e+06	2.33221e+06	2.21543e+06	2.10007e+06	2.20539e+06	2.20633e+06	2.24594e+06	2.23772e+06	2.29788e+06	2.48453e+06	2.38661e+06	2.41532e+06	2.45909e+06	2.29965e+06
Q13287	Q13287		NMI		49958.8	99503.4	98178.3	55471.4	151832	137250		133689		261386	112280	244505	246249	142737	154237	218491	206574	255028	271748	195851
Q13303	Q13303		KCNAB2			54618.4	55194.8							75676.2		86205.2		77238.1		80945.8	78766.1	63791.8	65005.8	74310.8
Q13310	Q13310		PABPC4		907276	891249	862690	864289	848386	838222	812240	866486	843085	772902	844700	834751	836214	776032	845245	785490	827881	727165	786838	797408
Q13322	Q13322		GRB10		35340.7	16939.5	15018.2	38708.9		45958.3		25350												
Q13330	Q13330		MTA1		159570	218248	198379	144779	215808	193782	219134	198688	225687	354598	188737	270546	228826	220923	234716	259014	254166	316058	311258	236412
Q13347	Q13347		EIF3I		1.38717e+06	730235	725484	1.2424e+06	1.15784e+06	1.10964e+06	1.11212e+06	1.0859e+06	1.18897e+06	586985	1.14316e+06	623323	1.1126e+06	628678	1.15651e+06	653781	568209	565770	596701	587655
Q13351	Q13351		KLF1		11552.7			17671.1																
Q13356	Q13356		PPIL2		306787	50723.7	46191.7	311357	225307	270241	287783	266011	262620		283366		253326		282803					
Q13361	Q13361		MFAP5			34465.2	28283.9																	
Q13362	Q13362		PPP2R5C		97036.5	89309	81323.6	77218.6	160077	118312	78582.1	125351	181213	238327	118232		127869	204969	102081	267986	182397	287317	488438	209762
Q13363	Q13363		CTBP1		258407	164881	180337	251357	476596	473352	438858	461018	449665	369894	427536	362953	442655	395834	432005	549469	414379	371619	405362	355579
Q13371	Q13371		PDCL		142514	64567.9	62967.8	121808	197779	207871	151080	162474	201365		191203		153611		176607		153126			
Q13395	Q13395		TARBP1		14714.7	68449.6	66879.3	20473																
Q13404	Q13404		UBE2V1		1.25193e+06	1.14303e+06	1.09338e+06	1.11411e+06	673002	827712	747106	646029	737813	574626	828970	400486	743905	616187	656423	581562	563454	540237	509460	584176
Q13405	Q13405		MRPL49		113844	167261	150021	93776.2	108034	97271.1	99156.2	101324	104816	139371	105524	107643	113555	133347	100048	158072	90102.8	140664	127639	85545.7
Q13409	Q13409		DYNC1I2		744526	703609	710105	736800	750268	765987	703829	787524	758568	643537	725779	616319	693493	682326	696801	601932	623782	648271	545062	635615
Q13415	Q13415		ORC1		3731.14	5535.79	6695.03	3801.63																
Q13416	Q13416		ORC2		221822	161181	153712	243283	959858	1.58351e+06		1.03033e+06	725772		447851		1.60279e+06		473959					
Q13418	Q13418		ILK		56234.8	79736.1	86635.8	59054.7	75659.9		91378.7				42843.7		41150.6				29405.1			
Q13421	Q13421		MSLN			49047.4	48291.2							50651.4		39176.5					53780.3		59933.5	
Q13422	Q13422		IKZF1		144759	159100		144228	121527	129296	109819	132240	96591.7		119417		118317		104426					
Q13423	Q13423		NNT		422258	793549	836760	401174	629884	681317	635089	649202	648730	1.08071e+06	676580	1.09516e+06	630075	1.00404e+06	683620	1.10476e+06	1.11753e+06	1.16401e+06	1.161e+06	1.14945e+06
Q13425	Q13425		SNTB2		25457.4	40775.4	42000.3	20534.3						280081		287610	115803	307232		298925	247984	252740	288585	280392
Q13426	Q13426		XRCC4		12062.9			13533.3			14112.4													
Q13427	Q13427		PPIG		67775.9	43053.2	34466.8	43692.2	203304	224273	134108	171989	213594	22817.4	119474	37755.8	162720		134972	53406.8		39471.1		
Q13428	Q13428		TCOF1		448697	398867	398255	426811	645868	637364	621869	659869	633800	617490	640495	589461	636379	585791	623798	610456	607985	637365	607449	617171
Q13433	Q13433		SLC39A6			56356.1												90745.8		68248.3	89255.5			97099.8
Q13435	Q13435		SF3B2		1.41552e+06	968870	978085	1.41948e+06	1.35602e+06	1.35726e+06	1.39592e+06	1.32142e+06	1.34875e+06	943129	1.40188e+06	912630	1.35141e+06	941704	1.41988e+06	900605	980812	980176	1.05318e+06	1.00848e+06
Q13438	Q13438		OS9		226189	192419	213903	214766																
Q13439	Q13439		GOLGA4		71001.6	50914.4	47392.2	65575.3			88165.6	86484.8					84965.9							
Q13442	Q13442		PDAP1		867193	486901	468827	839914	989850	1.03066e+06	1.03344e+06	1.00552e+06	999214	534193	1.00714e+06	680475	1.06664e+06	672968	1.01458e+06	694248	754560	613952	822864	773727
Q13443	Q13443		ADAM9		3798.1	38236.6	37985.6	3789.28										11930.9				10248.8		
Q13444	Q13444		ADAM15			68466.4	63853.5	4578.68												43030				
Q13445	Q13445		TMED1		129378	416290	440418	127543		275613				479872		431984		440166		491035	554859	563004	608155	504198
Q13451	Q13451		FKBP5		514662	232390	231446	561538	493193	503579	496364	510625	482839	206584	473193	214177	501703	226673	507521	223279	230292	188293	207235	191932
Q13464	Q13464		ROCK1		33499.5	31276.9	33396.4	33247.4	52739.4			86113.5	100044		57849.7		127305		60659.3					
Q13469	Q13469		NFATC2		18462.2			18551																
Q13472	Q13472		TOP3A		13704.8	22520.6	20342.8	10695.6																
Q13485	Q13485		SMAD4		479770	1.0581e+06	1.04277e+06	474936	684270	706994		592083		1.60232e+06	696702	1.78583e+06	655680	1.64193e+06	646424	1.57723e+06	1.59121e+06		1.65368e+06	
Q13489	Q13489		BIRC3		24115.5	12843.4	13068.1	21309.2																
Q13492	Q13492		PICALM		459291	286661	264943	466816	541076	575700	571730	528390	546670	327095	497213	321564	520953	333429	575760	328687	346031	308139	335474	307617
Q13501	Q13501		SQSTM1		98541.1	143839	157613	123211	37805.5		53506.5						62943.2		47840					
Q13503	Q13503		MED21		25936.6	19390.9	15098.6	15383.2	52581.5	65200.1														
Q13505	Q13505		MTX1		181467	115684	107616	161744	193523	180527	173773	207747	151751	24722.2	164207	36722.3	159218	51051.9	200760		56846.5	46273.4		
Q13509	Q13509		TUBB3		34822	65970.9	72204.4	39781.3																
Q13510	Q13510		ASAH1		62144	65652.5	70758.2	67183.3			48638.4						52420.8							
Q13523	Q13523		PRPF4B		219798	189309	193768	229053	295512	277629	296885	245548	281329	251714	304000	225245	291088	214510	291710	239638	245690	236294	250693	256333
Q13526	Q13526		PIN1		419269	409010	424741	429349	727891	740851	726575	719454	727190	700374	670307	769279	741501	763566	603629	752900	701579	737897	662034	689594
Q13541	Q13541		EIF4EBP1		343004	330374	286111	376870	352808	403187	373430	322845	398984	455013	401355	641244	373236	439285	390057	517415	482707	321113	558032	494695
Q13542	Q13542		EIF4EBP2		146105	34100.2	39849.9	141861	78419.2	89526.8	104986	84193.1	69715.7		96509.7		66190.4		82824.4					
Q13546	Q13546		RIPK1		41938.4	17798	17949.8	35133.2	43961.3	39517.1	38192.8		36964.9		32596.3		34529.6		40090.4					
Q13547	Q13547		HDAC1		926276	545875	481464	996429	758561	778037	762488	652386	810741	350219	805268	426563	794551	297829	783038	345017	372084	282523	297029	280708
Q13555	Q13555		CAMK2G		96999.6	76164.7	64216.4	105538	171377	248050	238172	227616	229120	310420	369269		237308	296151	238155	113545		266530	312026	
Q13561	Q13561		DCTN2		448058	399916	371684	411882	602875	601070	586437	579659	605396	512533	563840	512326	588428	492265	594767	429229	493727	524405	534452	515348
Q13564	Q13564		NAE1		250484	280784	267957	242719	300725	292222	296737	318936	273266	331747	283396	355469	288843	353499	213182	360728	384875	347756	326951	364912
Q13572	Q13572		ITPK1		16423	65631.6	65980.6	14873.6																
Q13573	Q13573		SNW1		291630	237351	239187	284739	365932	393600	374109	357142	385230	337309	349301	332893	341771	315307	328611	302928	231988	401190	262570	372898
Q13574	Q13574		DGKZ		30735.3	17335.7	16234.9	32489.6																
Q13576	Q13576		IQGAP2		20391.1			17335.9																
Q13586	Q13586		STIM1		22266.2	65350	65722.6	22228.7	170378									247016		279970	248286	238491	324323	226598
Q13595	Q13595		TRA2A		194991	122794	118950	183168	162286	139272	147389	160856	150861	74968.9	156162	102765	163271	72544.9	139886	107669	80660.9	66791	82248.8	76185.1
Q13596	Q13596		SNX1		1.0079e+06	1.44993e+06	1.60531e+06	1.23057e+06	1.42226e+06	1.22414e+06	1.10326e+06	1.40882e+06	1.21481e+06	1.63146e+06	1.02715e+06	1.6926e+06	1.23001e+06	1.61031e+06	1.03291e+06	1.60732e+06	1.49408e+06	1.56325e+06	1.58976e+06	1.57725e+06
Q13601	Q13601		KRR1		151219	268047	261994	131483	132315	112450	123793	103641	119336	242241	136179	212903	133786	223509	144401	231439	256595	256535	242074	231884
Q13610	Q13610		PWP1		334443	351509	351159	324316	615669	554388	674247	598153	594632	551823	640270	422335	614350	494571	594618	513416	522572	484186	509480	462010
Q13613	Q13613		MTMR1		13084.5	14725.3	14473.7	18409.7																
Q13614	Q13614		MTMR2		11730.8	15724.7	16489.8	10961.4																
Q13616	Q13616		CUL1		406966	270269	249730	388286	583348	617333	552033	648241	542092	506631	547838	552793	566179	595877	614135	505596	503800	609556	524313	418324
Q13617	Q13617		CUL2		138796	113895	120132	123679	125481	138970	119479	155214	163673	83999.5	116935	86848.8	115862	79777	130182	91829.8	95326.1	105315	90713.5	82353.1
Q13618	Q13618		CUL3		144967	112172	134562	147522	146607	104637	166770	87230.1	186319	154766	170256	91409.1	162926		173071		630868	88459.8	563410	88720.7
Q13619	Q13619		CUL4A		186809	384609	390004	174365	199005	200625	199421	207792	181329	353255	206605	396562	216211	349201	229070	368159	370505	352229	415817	363993
Q13620	Q13620		CUL4B		556220	761905	705972	536895	1.05075e+06	931440	994927	907384	892990	1.04039e+06	971025	1.11893e+06	962416	1.00296e+06	996042	985221	972515	1.07107e+06	1.0982e+06	1.09576e+06
Q13625	Q13625		TP53BP2		36190.7	17816.3	18543.4	31000.7			32524.1													
Q13627	Q13627		DYRK1A		60846.1	32267.2	28187.4	58890.7	67681.6	48770.7	74560.2	65922	50254		45151.8		58121.8		44332.5					
Q13630	Q13630		GFUS		183533	300296	302037	170661	162129	157740	155765	152113	153691	264198	148579	258465	151809	246313	153828	253413	276421	240887	252764	245808
Q13636	Q13636		RAB31		45421.3	151600	155187	45328.8						264141		244049		232636		221033	282903	284056	263570	336101
Q13637	Q13637		RAB32				29212.7																	
Q13642	Q13642		FHL1			171566	170021					145754		182322		197138		204860		192474	192900	184978	192221	169139
Q13643	Q13643		FHL3		708607	160363	142289	657357	646100	622901	668431	613431	670921	365463	670705	406843	630578	401483	615305	391261	389105	379675	372850	436210
Q13670	Q13670		PMS2P11		7873.73			6280.85																
Q13671	Q13671		RIN1			6506.59	6242.52															512485		
Q13685	Q13685		AAMP		165750	38598.9	41244.5	173073	172143	170440	157952	170650	172059		156261		146885		153017					
Q13724	Q13724		MOGS		35549	245033	278980	9054.22						716375		634099		573998		626046	713754	575013	394885	655152
Q13740	Q13740		ALCAM			100083	107041									129247		105371		60334.7	111983	38585.7		74750.5
Q13769	Q13769		THOC5		202922	172454	163333	225114	199127	209010	242686	204100	226384	186440	238502	220290	203491		211983	226701			173804	152440
Q13813	Q13813		SPTAN1		45484.1	818300	813332	37514.5						941284		980128		970001		946219	983777	988441	967364	973450
Q13823	Q13823		GNL2		228702	291389	250928	235951	283988	308559	279753	283780	285679	301370	304677	282084	320600	368907	279468	296246	256970	291306	341598	227470
Q13838	Q13838		DDX39B		1.1623e+06	869191	810305	1.0852e+06	863631	774564	684224	807381	771653	454393	897219	387024	781188	450996	710405	425750	323607	504691	518030	493824
Q13867	Q13867		BLMH		645944	220004	211732	582152	498765	459760	493144	514980	518926	239990	501571	203208	450206	332736	516969	151081	247079	246770	277465	275275
Q13868	Q13868		EXOSC2		330397	145373	134202	279333	458375	471086	460694	468409	490403	315177	444000	254466	457687	237406	440690	307010	257955	272874	230256	277573
Q13885	Q13885		TUBB2A		315711	44966.7	36117.8	289794	244797	252356	251014	263318	241026		231041		227050		234703					
Q13888	Q13888		GTF2H2		88349.7	47267.9	44906.6	100677	100105	90624.6	94978.8	101183	97663.3		112019	41642.3	110082		97104.5					
Q13889	Q13889		GTF2H3		33576	14276.7	13430.5	35315.9																
