Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA100_02ng_3.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA100_02ng_4.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA100_02ng_2.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA100_02ng_1.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA100_02ng_8.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA100_02ng_7.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA100_02ng_6.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIASwath2_02ng_4.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA100_02ng_5.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIASwath2_02ng_3.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIASwath2_02ng_2.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIASwath2_02ng_1.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_8.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_2.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_7.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_6.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_1.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_4.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_5.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_3.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIASwath_02ng_4.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIASwath_02ng_2.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIASwath_02ng_1.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIASwath_02ng_3.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_blk.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_blk2.raw
P49588	P49588		AARS1		154407	144142	162144	162053	142158	144431	149331	169783	154957	173025	175035	173669	168734	169112	163923	170328	169160	156904	171464	164207	159032	167488	159810	159956		
P49589	P49589		CARS1		37500.7	43344.9	41537.6	44487.6	43791.8	39654.1	35787.1	47592.6	30188.2	50747.8	49612.4	53514.7	31142.7	36358.1	37654.6	37634.4	38041.5	34769.2	39101.1	41706.1	58958.8	65146.8	58986.6	58811.4		
P49591	P49591		SARS1		32484.7	27077.4	32252.7	31373.5	38645.7	36781.9	30053.9	29301.3	31548	29856.3	29305.1	30073.7	29322.1	23906.9	29795.2	27409.3	29729	29562.9	28590	29284.1	32974.3	29635	32179.8	32324.2		
P49720	P49720		PSMB3		44800.9	43217.3	39136.6	46812.3	42152	38511.5	44201.4	32068.2	39248.1	27904.8	32129.8	31960.1	57847.2	58917	62090	59895.6	53876.7	57342.2	59910	58307.7	32091.1	28737.9	30239.7	31877.9		
P49721	P49721		PSMB2		130036	133462	135036	137737	126948	105934	131376	147266	138915	148213	154357	156486	157213	170238	163948	164096	171818	149000	175177	167983	141737	137615	151016	142260		
P49736	P49736		MCM2		132955	132304	144367	130928	133943	142909	137135	132759	132306	142762	138833	137649	136926	137815	143441	139916	142631	132618	147789	149223	147183	143669	139258	142681		
P49748	P49748		ACADVL		111912	111331	106566	109388	111475	110931	111367	107779	112356	110033	108876	109808	119729	119827	113029	117898	123099	121039	117656	123288	111997	110606	109661	113121		
P49755	P49755		TMED10		18234.9	18352.2	19760.2	21084.5	10720.4		10197.3	13805.5	12952.1	13095.6	17257.9	19093.2	16724.6	12389.9	16833.2	22520.7	16139.2	9867.37	20047.9	12123.7	14515.8	17298.7	19149.5	12255.3		
P49773	P49773		HINT1		374737	364427	388144	377771	365599	363929	362987	310490	381897	307919	300568	297546	302294	307366	298171	312563	318193	306041	303797	318752	261221	259588	230016	260030		
P49790	P49790		NUP153		224840	210079		221409	214945				206654				138623			146517										
P49915	P49915		GMPS		83398.7	83696	81060.6	84130.5	79869.2	84719.6	80965.2	70013.3	81731.7	71251	65745.3	72304.5	92288.3	87019.6	90273.2	84499.8	84332.1	82685.8	91178.7	81535.4	73652.3	75989.6	80812.9	71201.3		
P50213	P50213		IDH3A		57715.9	58813.2	56044.7	55792.8	57518.6	56195.3	56667.7	63434.1	53437.4	63560.3	64839.6	62610.1	64141	68512.6	62855.9	60912.1	66732.2	65065.6	65032.2	63993.2	63722	63060.1	58333.7	57279.3		
P50395	P50395		GDI2		56871.7	56159.8	57306.1	57264.4	54107.2	53962.9	54541.9	63601.2	55832.7	69349.2	70042	68108.6	60300.6	59119	55869.3	57167.1	60866.9	55347	61280.5	56720.9	53041.6	49820.5	53745.5	55106.8		
P50402	P50402		EMD		49005.5	55017.9	60677.8	58980.2	75078.9	63100	58713.9	63300.3	63792.4	62850.3	56772.6	59100.2	51385.9	55268.2	55412.7	53396.2	59960.5	59639.7	49901.4	51498.1	48281.5	55028.8	44308.6	54654.9		
P50416	P50416		CPT1A		37330.5	31634.5	35540.1	38664	39061.5	37505	35518.4	36359.4	32165.4	34510.1	36163.7	32613.1	40915.4	42205.1	41574.4	38522.8	45761.8	38090.6	39270.1	39760.5	38772.7	38585.2	37632.8	37750.6		
P50454	P50454		SERPINH1		393185	421400	414619	394872	411092	420441	396859	329935	414274	359463	340607	331594	402282	371928	394932	389088	383919	384653	398331	413448	369515	371697	383666	397089		
P50502	P50502		ST13		45653.8	47743.2	45964.9	49802.1	49671.7	48028.1	45789.9	44136.9	47547.5	46361.9	46515	48495.3	50998.5	50821.3	52725	49745.6	50890.4	44684.8	49892.9	45876.7	52880.8	54409.3	56021	55086.5		
P50579	P50579		METAP2		45047.5	47419.9	47493.2	45967.6	44678.1	47192.4	52327	56039.1	35733.7	54490.3	46337.6	43225.1	31374.9	36008.8	38005.8	44463.7	39422.2	35344.1	44102	33124.3	37335.9	32208.6	39635.3	46227.5		
P50914	P50914		RPL14		503693	496413	483275	489315	477252	453745	460799	503484	430928	453053	489860	450691	561946	577949	542923	542137	570891	572144	572251	551855	467039	466442	484315	477130		
P50990	P50990		CCT8		226163	219988	226832	228476	206260	210462	220748	206836	224245	211331	212923	211467	215193	210918	215775	212449	217397	209431	222962	214824	203961	203148	213542	203940		
P50991	P50991		CCT4		271542	270416	284536	285573	251320	242614	265959	268388	269740	276049	269425	274463	286260	278087	282732	279920	280518	278423	282456	283496	257575	257903	253899	263859		
P50995	P50995		ANXA11		96398.6	118045	99775.5	106470	106169	101380	111659	91502	106929	96476.4	88231.4	86356.9	63203.7	60552.7	60826	60173.8	61221.4	62628.2	60037.9	61087.8	47480.1	45377.6	43933.4	52456.9		
P51148	P51148		RAB5C		79189	75578.6	75717.9	72227.8	71225.5	80708	79637.6	81775.9	70879.1	71278.4	77958.1	85576.6	85256.7	82647.3	82039.6	79663.5	85975.9	85277.3	89899.3	83435.3	85379.3	77654.4	76682.1	80764.1		
P51149	P51149		RAB7A		84239.9	91005.4	98248.7	91763	84569.4	81502.3	83217.5	86244.2	79378.1	90040.3	94870.5	88876.6	92063.4	91527.4	89587.4	91802.9	95715.3	89361.3	93660	92562.1	88013.9	82403.4	82638.9	86873.6		
P51153	P51153		RAB13		275180	295059	318173	314262	293141	291509	313705	322627	304443	290760	315990	269188	255438	304040	317467	316316	273735	322937	273348	274916	302455	257468	259386	310971		
P51571	P51571		SSR4		36061.7	24706.9	35675.8	46058.8	13510.6	19916.9	27096.4	18202.6	32459.4	33795.6	34795.7	44498.4	21783.7	27730.9	28437.7	27470.2	31522.5	15827	36299.5	25861.5	21489.4	27814.3	26815.5	23615.2		
P51572	P51572		BCAP31		105682	91047.8	112950	108817	111441	99141.6	95643.4	65157.6	104902	74068.2	74461.5	90656.6	81239.1	89086.7	86847.7	91341.5	88530.4	74289.9	104530	75515.5	70541	88979.1	99149	79746.5		
P51659	P51659		HSD17B4		94703.7	92098.8	94074.5	96145.2	91720.8	98649.3	102266	93932.7	92470.2	98982.6	93581.6	93777.6	91672.2	90847.9	91821.7	95091.8	89757.5	94712.2	94284	95846	90730.4	90019.7	89760.2	85533.9		
P51858	P51858		HDGF		345427	371021	357239	347200	334039	333275	350785	332696	385059	329456	328197	353170	310165	325846	310294	317200	312891	322997	317277	316686	330218	345551	324385	330748		
P51970	P51970		NDUFA8		26678.2	22041.2	20151.4	24856.3	18133	21424.6	17817.2	15598.2	16338.1	22036.4	19710.9	20790.4	19406.9	21207.8	23392.7	20523.3	23181	21741.5	23876.9	22567	23705.5	27994.4	23172.5	22794.2		
P51991	P51991		HNRNPA3		118866	108412	111153	101507	144838	127616	109814	141694	127632	152388	147233	153990	119343	112425	116622	113458	112183	100611	102868	108850	145005	138734	137377	152134		
P52209	P52209		PGD		174707	183178	178250	185262	173065	178529	172564	144430	187976	151737	144827	141205	146025	146855	145339	141460	154453	146579	142209	146935	143526	143260	138885	141666		
P52272	P52272		HNRNPM		175466	163700	189971	195047	139887	151258	156945	148432	179130	155601	161854	182898	177771	181394	180277	193026	190435	166161	204692	173851	155506	165081	182849	156630		
P52292	P52292		KPNA2		28719.1	27561.9	27782.6	27391.9	28988.5	26753.7	23383.9	30502.9	23028.7	28345.2	27713.4	26094.3	24116.2	24102.4	24779.9	27389.2	23098.2	24813.3	25559.5	22067.5	27023.4	26424.3	26077.7	27935.4		
P52434	P52434		POLR2H		15862.5	18348.8	14519.4	15778.2	18823.9	20009.4	21399.3	22077.1	15198.8	26425.3	23167	21435.2	15943.3	16407.1	16826.1	17336.2	20067.5	17211.9	13220.7	13962.8	15192	16004.8	12263.7	12242.9		
P52565	P52565		ARHGDIA		60622.1	65918.3	66768	62369.3	58802.8	59962.9	58578.4	89444.4	55669	95176.2	89735.4	93374.2	69935.9	70230.7	70111.9	70122.2	73495.3	66558.8	61881.5	65981.4	84027.1	81887.7	76914.8	87094		
P52597	P52597		HNRNPF		109787	96784.9	126000	126334	76894.7	86944	87300	83210.5	129158	80762.6	85839.5	105373	109673	128854	119758	123820	149222	103044	132918	111986	27265.1	95849.2	99940.4	79080.2		
P52788	P52788		SMS		88334.6	84196.4	89529	92562.1	86055.1	85349.3	91304	69430.6	83970.9	71317.7	71514.1	65399.9	68265.5	74842.2	68869.2	69059.5	74247.6	65775.5	68374.5	70509.7	67961.3	66709.9	66875	67867.8		
P52815	P52815		MRPL12		119747	123066	116406	129143	104094	114599	115260	98136.2	118797	108400	110672	102965	108785	96007	106669	109177	110337	112067	110188	115282	99406.9	102319	90201.2	95330.8		
P52907	P52907		CAPZA1		129619	132191	128942	135214	127423	126983	126019	137676	128550	131551	133855	134100	110575	106648	109047	106825	110146	110783	110139	109475	133633	132460	130504	132181		
P53396	P53396		ACLY		128709	125818	119912	122276	127895	126153	115975	118528	120685	127478	117812	115268	121568	112431	117734	109164	110450	114940	113380	116861	128773	126299	124616	134860		
P53618	P53618		COPB1		20517.4	18208	26568.8	19958.4	12737.6	19053.7	17398.5	15366.6	16658.9	18940.3	19296.5	17756.6	20597.4	14858.7	16421.4	21266.2	18632.6	16629.9	23593.6	16284.5		30601.4	32268.8	26869.8		
P53621	P53621		COPA		369059	366898	379894	357184	346777	323888	346725	294053	326332	319671	330782	295145	280838	246493	238624	251095	263054	256492	250112	246916	282537	265184	291502	289143		
P53985	P53985		SLC16A1		101355	112315	108834	103709	101058	103725	113312	93373.2	106353	89734	99713.8	87399.4	78354.1	72602.7	86104.4	83055.9	83662.7	81156.2	91438.4	86387.8	126214	101506	118712	123002		
P53999	P53999		SUB1		342325	292935	340219	346663	232815	272608	311386	344945	342556	362970	417679	412952	345072	354367	347778	354780	410801	290035	389773	347053	283527	359958	390830	349804		
P54136	P54136		RARS1		143616	124283	132665	137824	125911	124109	137585	120385	138277	139573	125889	126989	131760	141354	143507	132935	133736	135699	140631	135546	121976	133914	139272	141122		
P54577	P54577		YARS1		312853	331483	339408	355602	323840	348328	350400	277861	343846	283788	287992	295323	319563	333216	309632	305014	323432	305301	300940	309326	297156	297070	293105	298304		
P54578	P54578		USP14		55989.3	54438.6	52774.7	49819.5	52840.2	58151	50439.3	49499.7	58051.4	48967.7	53281.6	54727.5	62351.7	59202.6	57827.6	53185.6	55922.9	55436	57769.7	54138.4	56431.1	54698	49834.4	54606		
P54725	P54725		RAD23A		58696.3	60105.8	75688.6	77287.3	102210	138332	74147.5	63371.6	71870.2	73417.1	70575.2	66791.8	70093	60831.8	67956.4	59811	60297.5	69855.3	61552.2	67419.2	66681.8	68023	67197.6	80539.7		
P54727	P54727		RAD23B		154993	167925	149232	155481	143694	142522	144695	122804	139543	127801	119129	129341	120014	122354	130362	125863	121664	122406	124304	122128	128297	129437	126569	130173		
P54819	P54819		AK2		131184	137339	137935	135900	141076	126366	137351	133583	131398	127975	126365	125038	135240	128015	130616	129805	127332	129172	132428	136924	148275	132324	138985	151082		
P54886	P54886		ALDH18A1		47381.9	47074.7	44455.4	45917.5	45416.8	45500.1	48302.3	36447.6	47068.7	38079.1	36623.5	37553.5	39048.1	39892.6	41393.3	42998.1	44478	41999.7	41680.3	42256.3	45150.9	44468.9	44010.5	47997.5		
P55010	P55010		EIF5		111669	110626	112488	117392	109782	111723	124044	106669	117020	114359	100425	107014	103637	104361	100585	106191	105168	100779	102954	105304	119795	121234	113452	111404		
P55011	P55011		SLC12A2						39546.4			47425.2	41686.3	52050.6	49986.9	50431.5	39351.1		41545.8	43797.4		31873.5	43101.7		37111	62330.3	79139.6	64778.6		
P55036	P55036		PSMD4		40579.3	39481.1	36517.3	43442	33918.1	37298.1	45458.8	37949.7	38249	39359.4	39263	39775.8	35041.6	35309.7	32414.4	34445.4	32553.7	33312	33864.4	33659.2	33030.6	39973.9	37295.5	37116.3		
P55060	P55060		CSE1L		207815	200324	209603	207519	188146	188805	192230	212005	210554	215721	216435	220427	210191	207370	215629	208926	218925	206266	209950	215508	209618	208462	219068	216886		
P55072	P55072		VCP		214378	211111	207389	209412	209697	205671	211568	214373	211328	215240	217753	219756	213866	214402	214845	214703	218601	215873	216208	220246	221043	220879	220282	222531		
P55084	P55084		HADHB		232190	234057	231524	233873	225582	233559	223253	242917	220873	240680	240888	248861	214083	213574	210728	193270	215971	222229	204379	211046	217900	221615	225869	215279		
P55209	P55209		NAP1L1		28808.5	21694	24744.6	26274.9	29932.9	31316.7	25432.5	33611.7	29197	29352.9	32269.9	33714.2	26821.2	29352.6	31573.3	27376.2	32030.9	26726.7	26146.7	15523.5	34455.5	34361.8	35828.2	30590.1		
P55263	P55263		ADK		28519.9	30348	25425.5	28868.9	28616.5	29242.6	25760.1	37320.1	33444.3	26118.9	36526.3	36991	26762.5	33797.2	32187.7	30050.9	35340	33704.3	34276.1	30213.3	25824.3	22807.8	27115.4	28996.5		
P55327	P55327		TPD52		37834	38317.9	37939.9	37464.1	39105.6	37042.2	44633.1	33869.2	35892.1	32751.6	33176.1	35745.7	30609.2	26830.6	28916.4	29999	25672.7	29855.7	30865.6	29053.7	38140.1	36958.7	37275.2	37742.8		
P55735	P55735		SEC13		47117.9	36223.8	39623	43852.8	39980.3	42880.2	50388.7	38122.1	47240.7	31780	33730.3	35000	41655.4	35816	36485.5	34642.3	40795	39037.8	40378.4	38786.9	42348	42315.4	44079.7	47074.9		
P55769	P55769		SNU13		96530.8	94658.6	106204	106316	105828	98858.8	95134.8	105129	92959.4	107374	95059.3	97095.2	103389	100503	97650.5	104233	99976.4	104411	99689.3	103167	94208	101543	94019.6	98228.6		
P55786	P55786		NPEPPS		79621	76141.7	78421.9	76782.2	81528.3	81244.9	82544.9	76938.9	74272	74428.4	79426.3	75649.6	80707.1	78268.3	82069.3	76557.7	79222.7	80042.3	79168.7	78273.2	64831.9	66851.5	64218.6	64605.9		
P55809	P55809		OXCT1		13486.4	15091.8	18081.7	19256.8	16861.3	15030.8	14754.6	13897.4	12981.5	17457.2	12413.4	19622.9	18382	12783.8	14196.5	15868.5	14549.3	13738.1	13893.3	13840.5	11739	11463.6	13765.1	12823.8		
P55854	P55854		SUMO3		120649	122075	126836	116402	120799	116997	126541	147821	120938	149979	152572	152757	145564	144490	151151	141913	146494	139143	143695	161041	140581	136547	135861	145043		
P55884	P55884		EIF3B		71956.1	69274.9	70640.6	71618.3	69242.2	64802.3	66587.6	64971.5	68611.2	68135.3	66583.2	67097.8	56697.6	65607.3	65389.6	63717.6	64441.2	63162.1	65871.9	57729.7	65201.5	65477.6	64240.7	65916		
P56134	P56134		ATP5MF		41187.5	44002	39477.9	36855	35729	38495.8	41818.6	45728.3	42517	49401.8	46397	41916.2	41584.5	37731.9	42068.3	43023.8	44346.7	41145	41360.2	45287.9	32583.8	34065.8	36159.7	34024.3		
P56192	P56192		MARS1		42493.2	41550.9	45829.1	47518.1	50547.4	48318.6	48007.3	41112.9	50660.7	45999.2	45705.1	46203.5	44011.5	43737.4	44635.6	42139.4	43729.4	42005.1	41512.7	51052.9	45176.4	50559.8	44936	42130		
P56385	P56385		ATP5ME		99256.6	106842	104033	104158	101402	98369.8	95843.1	72255.4	106866	74123.5	71955.4	72962.9	75605	75288.2	79003.9	78008.6	73621.9	76390.8	72291.6	75628.9	74954.3	74552.5	76326.3	72671.6		
P56537	P56537		EIF6		258182	248298	266897	267787	249183	256791	254726	207370	255808	216558	234905	229178	234414	232678	238908	228238	248945	219630	224199	225606	220654	264147	261346	247093		
P56545	P56545		CTBP2		81378.5	70558.1	76968.8	108467	86020.9	63114.2	76339.3	33125.9	88202.9	36968.2	32163.5	31290.7	114327	108025	124963	106537	113939	89457.5	93081.5	101082	117276	98317.9	111314	111779		
P57088	P57088		TMEM33		20734.9	19897.1	25773.5	24172.8	19048.6	22469.1	22994.7	33805.5	19799.8	27269.5	23403.6	34943.4	25528	27465.2	25821.1	29415	30354.3	26029.2	30607.1	28035.6	25572.7	24125.7	28848.9	24481.8		
P58546	P58546		MTPN		108957	117279	106322	107307	103581	99346.6	110645	107634	109264	104924	100260	103846	88384.3	88429.9	93501.5	106521	93845.4	88581.9	95904.4	85440.8	100565	107188	103481	98491.4		
P59998	P59998		ARPC4		59775.1	62199.9	57759	67090	67017	66964.3	68765.9	71331.5	60446.8	75673	68934.6	67032.6	71273.6	66235.6	63514.1	67410.8	69272.6	68674.8	66696.9	73572.2	68722.8	65069.8	71029	72321.1		
P60174	P60174		TPI1		673925	673012	651275	632774	620189	605630	595399	649803	597470	649078	651907	650047	655768	649593	653749	652488	656696	665087	672827	643878	614151	601585	561937	605832		
P60468	P60468		SEC61B		90719.6	87959.3	81636.3	78899.8	85063.8	82012.8	82579.8	88184.7	87108	98879.4	90614.2	87862.3	94656.3	102115	100566	93694.1	97072.2	91190.7	93049.3	91131.3	81474.8	72983.6	78075.7	74480.1		
P60660	P60660		MYL6		165616	147862	164336	153577	157098	148021	147927	182236	161701	188684	186956	205266	160850	162035	184450	184949	168641	171940	175739	160477	210702	200081	210623	210324		
P60709	P60709		ACTB		2.1757e+06	2.41198e+06	2.21381e+06	2.23994e+06	2.53426e+06	2.46513e+06	2.21015e+06	2.45316e+06	2.32454e+06	2.62377e+06	2.81202e+06	2.58692e+06	2.50695e+06	2.1763e+06	2.46073e+06	2.48358e+06	2.34309e+06	2.48594e+06	2.41431e+06	2.31765e+06	2.95815e+06	2.79304e+06	2.58845e+06	2.21579e+06		
P60842	P60842		EIF4A1		686721	668221	696548	696618	687427	663156	650924	715000	705735	704178	745842	766808	689423	686547	710631	694686	692776	644670	715212	657831	681894	700783	717057	713252		
P60866	P60866		RPS20		126213	128854	127928	124702	141174	146627	142403	139632	130456	133667	141901	132327	134444	133750	140720	140888	139849	138412	138535	138304	145759	137168	138647	144552		
P60891	P60891		PRPS1		59099.1	58001	55422.1	54918.3	56613	64911.4	54308.8	60924.2	58517.7	70711.7	69235.3	69783.2	67303.5	67836	72582.2	67015.5	63654	65388.8	69537.6	59844	65542	68243.9	74545.1	67540		
P60900	P60900		PSMA6		141563	129220	139302	147497	133933	144719	135602	133414	137686	140830	138861	132249	144155	144819	139355	135448	143300	132420	141410	136814	138834	138091	141319	130435		
P60903	P60903		S100A10		93013.5	101659	84099	82068.8	89337.7	83579	120276	166745	86516.5	163937	156414	161326	128191	123579	113442	114962	119083	120769	116881	121425	170135	151915	154573	157862		
P60953	P60953		CDC42		124357	129356	124541	117051	138154	132639	124346	136747	140740	132614	130720	132053	107018	98289.7	99654.7	96858.7	99948.5	101037	103084	104807	134363	132690	129306	140190		
P60981	P60981		DSTN		239081	234506	240448	239800	250165	237962	235744	197816	250272	185327	195763	190070	188786	185435	189707	174472	178517	178476	173543	186241	181968	188748	178747	176743		
P61006	P61006		RAB8A		125695	108640	122672	137729	99010.9	120931	166322	117215	102893	95848.1	117512	109122	67212.7	64295.6	66671	74517.7	65451.2	65748.7	64551.9	60953	152400	168019	172217	165075		
P61019	P61019		RAB2A		38427.9	44210.4	42389.8	33160.9	43033.9	41507.5	41334.8	58600.8	41101.6	57744.9	62753.4	67346.7	58414.9	45833.4	45535.9	58537.9	59212	72823.4	51680.9	56385.1	47153.6	53371.7	42031.6	53215		
P61081	P61081		UBE2M		43878.9	39903.1	37619	44135.3	44834.2	45305.5	44135.8	38071.2	41897.5	40988.9	40559.2	42475.2	40243.9	40604.3	39987.3	38055.4	39395.8	35457.9	38078.1	41066.3	38814	39140.4	38298.8	37046.6		
P61086	P61086		UBE2K		30704.5	34952.1	36986.2	34408	34333.7	32750.1	35721.7	37789.9	32998.7	33976.6	36388.5	37602.8	34535	40899	40730.4	41396.1	37197.7	36930.7	41388	46021.7	33918.8	37007.9	35070.9	35745.7		
P61088	P61088		UBE2N		212558	199057	207490	211315	200317	200643	202836	242713	190965	281789	240143	242753	237505	219612	224636	223492	232191	223970	238014	220414	248825	235017	232761	236980		
P61106	P61106		RAB14		85977.9	82032.7	96464.7	87762.4	70454.7	86195.9	80356.1	86157.4	86359.9	90727.6	80483.7	90785.3	83857.5	90321.9	80453.6	90743.3	89365.8	82611.8	92612.9	82075.8	89031.7	85356.7	89857.5	82331.7		
P61158	P61158		ACTR3		21844.8	17852.2	14973.2	12944.1	20373.1	22389.1	17050.6	15762.3	13237.4	26869.3	18703.7	16720	20089.3	17121	14628.1	15517.4	18067.6	16597.7	16766.5	16959.2	15655.6	20204.3	19752.6	17787.5		
P61204	P61204		ARF3		319299	283355	324435	318293	263070	292569	332028	302903	325729	309286	341017	312549	337214	328978	323597	320245	324895	290062	331372	306676	271124	319012	354298	319001		
P61221	P61221		ABCE1		57210.2	49150.2	65128.2	62691.5	57635.4	60055.4	59589.9	74471.3	54963.9	68733	74559.6	60785.5	54623	46506.6	56300.3	48056.6	58586	58597.5	52460.6	52822.8	77391.4	74086.2	78928.7	75193.5		
P61224	P61224		RAP1B		205173	183405	205451	212398	172676	170978	196967	109050	190328	111109	110013	113695	160372	161024	164016	159879	154335	146995	142209	157666	132500	139096	136667	148070		
P61247	P61247		RPS3A		341544	361870	357014	335451	334400	351109	339750	371629	364342	361077	370798	361718	329960	327169	333934	331657	325751	329204	343964	324003	372529	384099	396761	388131		
P61254	P61254		RPL26		362813	375441	342247	362861	385761	389874	377594	419443	379912	442430	389652	407218	424476	414949	421229	412314	415382	429374	396125	433965	437128	428718	418411	423530		
P61289	P61289		PSME3		49683.2	47802.9	51162	50177.4	47186.9	37564.4	47152.2	48657.6	42509.8	56806.9	47686.5	51338.8	57067.9	54669.2	58990.7	51577	55623.2	53347.6	52374	51911.5	53406.6	47148.1	57240.3	51255		
P61313	P61313		RPL15		407461	421670	402798	387269	426459	397213	419960	507120	442615	505640	507011	515297	509451	490879	526292	501390	479842	506296	496448	491110	536365	508598	519696	534518		
P61353	P61353		RPL27		298366	330483	295982	315716	303636	319947	328165	394671	325611	385841	400053	394748	377555	363473	374647	367402	365560	372184	383274	374441	388738	393865	393521	420493		
P61604	P61604		HSPE1		634432	609026	660299	647401	665962	639227	640268	661035	674878	670861	678855	648392	685854	673236	675242	664420	676218	681805	681704	694802	744461	715754	734389	725696		
P61619	P61619		SEC61A1		63894.4	66668.3	69165.3	69212	70627.1	73026.6	66030.5	60287.9	72716.6	67232.6	65039.3	65543.9	64149.8	57215.3	58115.1	59223.8	62517	59511.2	62300.7	66920.9	58817.5	53772.3	57823.5	59504.5		
P61803	P61803		DAD1		35765.8	36201.5	36474.3	33605.5	37334.6	36562.5	35010.3	35255.1	36785.4		31239	36249.7	34493.2	38706	39222.3	37780.1	41337.4	39706.6	40894.3	36153.8	32227.6	32536.8	35436.3	30021		
P61923	P61923		COPZ1		19046.1	28388	21016.3	19985.3	22550.1	25693.5	21171.7	34531.9	21236.4	35111	33637.4	31479.1	25207.2	27357.8	27242.6	29399.9	31107.1	26934.1	25764.9	22548.8	25418.2	19461.6	22034.2	25265.6		
P61970	P61970		NUTF2		143645	146211	140178	155479	143602	143744	158029	150536	141817	125182	133261	122389	106507	105243	105537	106239	111287	103897	106394	119727	136532	142845	127762	134794		
P61978	P61978		HNRNPK		465054	457614	463704	458440	487295	473085	465635	478917	452962	478761	475755	463161	453812	418272	434732	433561	441929	439072	423426	440406	504081	507797	493596	505635		
